#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 05 02 19 00 300  1.0  1.0    MM    MM    MM  MM 1023.0  11.4    MM   7.6   MM +0.0    MM
2017 05 02 18 00 330  1.0  1.0    MM    MM    MM  MM 1023.2  10.7    MM   7.9   MM +0.0    MM
2017 05 02 17 00 250  1.0  1.0    MM    MM    MM  MM 1023.4   9.4    MM   7.4   MM +0.8    MM
2017 05 02 16 00 350  1.5  1.5    MM    MM    MM  MM 1023.1   9.0    MM   7.3   MM +1.0    MM
2017 05 02 15 00  20  1.0  1.0    MM    MM    MM  MM 1023.0   8.5    MM   7.0   MM +0.5    MM
2017 05 02 14 00 190  1.0  1.0    MM    MM    MM  MM 1022.6   8.1    MM   6.9   MM +0.5    MM
2017 05 02 13 00  10  1.5  2.1    MM    MM    MM  MM 1022.1   7.6    MM   6.8   MM +0.0    MM
2017 05 02 12 00 160  0.5  0.5    MM    MM    MM  MM 1022.5   7.7    MM   7.1   MM +0.3    MM
2017 05 02 11 00 320  0.5  1.0    MM    MM    MM  MM 1022.1   7.5    MM   6.9   MM +0.0    MM
2017 05 02 10 00  MM  0.0  0.0    MM    MM    MM  MM 1022.0   7.8    MM   6.6   MM +0.0    MM
2017 05 02 09 00 150  1.0  1.0    MM    MM    MM  MM 1022.2   8.2    MM   6.5   MM -0.4    MM
2017 05 02 08 00  MM  0.0  0.5    MM    MM    MM  MM 1022.2   8.7    MM   6.4   MM +0.0    MM
2017 05 02 07 00 100  0.5  1.0    MM    MM    MM  MM 1022.2   8.9    MM   6.1   MM +0.0    MM
2017 05 02 06 00 140  1.0  1.0    MM    MM    MM  MM 1022.6   9.2    MM   6.0   MM +0.5    MM
2017 05 02 05 00 140  1.0  1.5    MM    MM    MM  MM 1022.2   9.5    MM   6.3   MM +0.3    MM
